[1,   195] loss: 2.124
[2,   195] loss: 1.855
[3,   195] loss: 1.583
[4,   195] loss: 1.410
[5,   195] loss: 1.307
[6,   195] loss: 1.218
[7,   195] loss: 1.159
[8,   195] loss: 1.098
[9,   195] loss: 1.059
[10,   195] loss: 1.011
[11,   195] loss: 0.969
[12,   195] loss: 0.928
[13,   195] loss: 0.905
[14,   195] loss: 0.877
[15,   195] loss: 0.845
[16,   195] loss: 0.823
[17,   195] loss: 0.798
[18,   195] loss: 0.772
[19,   195] loss: 0.750
[20,   195] loss: 0.726
[21,   195] loss: 0.706
[22,   195] loss: 0.692
[23,   195] loss: 0.675
[24,   195] loss: 0.655
[25,   195] loss: 0.641
[26,   195] loss: 0.628
[27,   195] loss: 0.610
[28,   195] loss: 0.597
[29,   195] loss: 0.592
[30,   195] loss: 0.572
[31,   195] loss: 0.563
[32,   195] loss: 0.550
[33,   195] loss: 0.538
[34,   195] loss: 0.528
[35,   195] loss: 0.517
[36,   195] loss: 0.506
[37,   195] loss: 0.494
[38,   195] loss: 0.488
[39,   195] loss: 0.479
[40,   195] loss: 0.472
[41,   195] loss: 0.454
[42,   195] loss: 0.447
[43,   195] loss: 0.439
[44,   195] loss: 0.434
[45,   195] loss: 0.427
[46,   195] loss: 0.419
[47,   195] loss: 0.415
[48,   195] loss: 0.413
[49,   195] loss: 0.400
[50,   195] loss: 0.393
Accuracy of plane : 79 %
Accuracy of   car : 87 %
Accuracy of  bird : 70 %
Accuracy of   cat : 58 %
Accuracy of  deer : 72 %
Accuracy of   dog : 63 %
Accuracy of  frog : 89 %
Accuracy of horse : 84 %
Accuracy of  ship : 93 %
Accuracy of truck : 86 %
Total Accuracy is : 78.580%
[51,   195] loss: 0.389
[52,   195] loss: 0.378
[53,   195] loss: 0.376
[54,   195] loss: 0.370
[55,   195] loss: 0.360
[56,   195] loss: 0.354
[57,   195] loss: 0.353
[58,   195] loss: 0.356
[59,   195] loss: 0.345
[60,   195] loss: 0.333
[61,   195] loss: 0.322
[62,   195] loss: 0.331
[63,   195] loss: 0.322
[64,   195] loss: 0.316
[65,   195] loss: 0.315
[66,   195] loss: 0.299
[67,   195] loss: 0.308
[68,   195] loss: 0.301
[69,   195] loss: 0.299
[70,   195] loss: 0.292
[71,   195] loss: 0.289
[72,   195] loss: 0.286
[73,   195] loss: 0.285
[74,   195] loss: 0.279
[75,   195] loss: 0.281
[76,   195] loss: 0.271
[77,   195] loss: 0.274
[78,   195] loss: 0.270
[79,   195] loss: 0.265
[80,   195] loss: 0.260
[81,   195] loss: 0.256
[82,   195] loss: 0.251
[83,   195] loss: 0.252
[84,   195] loss: 0.251
[85,   195] loss: 0.249
[86,   195] loss: 0.247
[87,   195] loss: 0.244
[88,   195] loss: 0.244
[89,   195] loss: 0.241
[90,   195] loss: 0.243
[91,   195] loss: 0.232
[92,   195] loss: 0.226
[93,   195] loss: 0.222
[94,   195] loss: 0.223
[95,   195] loss: 0.227
[96,   195] loss: 0.221
[97,   195] loss: 0.220
[98,   195] loss: 0.217
[99,   195] loss: 0.217
[100,   195] loss: 0.215
Accuracy of plane : 77 %
Accuracy of   car : 92 %
Accuracy of  bird : 67 %
Accuracy of   cat : 63 %
Accuracy of  deer : 80 %
Accuracy of   dog : 68 %
Accuracy of  frog : 89 %
Accuracy of horse : 83 %
Accuracy of  ship : 90 %
Accuracy of truck : 85 %
Total Accuracy is : 79.810%
[101,   195] loss: 0.215
[102,   195] loss: 0.215
[103,   195] loss: 0.220
[104,   195] loss: 0.215
[105,   195] loss: 0.215
[106,   195] loss: 0.208
[107,   195] loss: 0.207
[108,   195] loss: 0.206
[109,   195] loss: 0.207
[110,   195] loss: 0.205
[111,   195] loss: 0.205
[112,   195] loss: 0.200
[113,   195] loss: 0.201
[114,   195] loss: 0.198
[115,   195] loss: 0.199
[116,   195] loss: 0.190
[117,   195] loss: 0.199
[118,   195] loss: 0.189
[119,   195] loss: 0.190
[120,   195] loss: 0.194
[121,   195] loss: 0.192
[122,   195] loss: 0.192
[123,   195] loss: 0.189
[124,   195] loss: 0.183
[125,   195] loss: 0.195
[126,   195] loss: 0.185
[127,   195] loss: 0.186
[128,   195] loss: 0.187
[129,   195] loss: 0.181
[130,   195] loss: 0.180
[131,   195] loss: 0.183
[132,   195] loss: 0.182
[133,   195] loss: 0.177
[134,   195] loss: 0.176
[135,   195] loss: 0.180
[136,   195] loss: 0.173
[137,   195] loss: 0.174
[138,   195] loss: 0.171
[139,   195] loss: 0.172
[140,   195] loss: 0.171
[141,   195] loss: 0.170
[142,   195] loss: 0.171
[143,   195] loss: 0.175
[144,   195] loss: 0.175
[145,   195] loss: 0.170
[146,   195] loss: 0.172
[147,   195] loss: 0.170
[148,   195] loss: 0.172
[149,   195] loss: 0.162
[150,   195] loss: 0.168
Accuracy of plane : 83 %
Accuracy of   car : 91 %
Accuracy of  bird : 75 %
Accuracy of   cat : 55 %
Accuracy of  deer : 76 %
Accuracy of   dog : 63 %
Accuracy of  frog : 88 %
Accuracy of horse : 83 %
Accuracy of  ship : 92 %
Accuracy of truck : 82 %
Total Accuracy is : 79.280%
[151,   195] loss: 0.163
[152,   195] loss: 0.173
[153,   195] loss: 0.169
[154,   195] loss: 0.167
[155,   195] loss: 0.161
[156,   195] loss: 0.162
[157,   195] loss: 0.165
[158,   195] loss: 0.158
[159,   195] loss: 0.169
[160,   195] loss: 0.163
[161,   195] loss: 0.161
[162,   195] loss: 0.160
[163,   195] loss: 0.156
[164,   195] loss: 0.161
[165,   195] loss: 0.155
[166,   195] loss: 0.158
