[1,   195] loss: 2.050
[2,   195] loss: 1.768
[3,   195] loss: 1.549
[4,   195] loss: 1.420
[5,   195] loss: 1.343
[6,   195] loss: 1.257
[7,   195] loss: 1.191
[8,   195] loss: 1.133
[9,   195] loss: 1.075
[10,   195] loss: 1.029
[11,   195] loss: 0.980
[12,   195] loss: 0.948
[13,   195] loss: 0.905
[14,   195] loss: 0.881
[15,   195] loss: 0.854
[16,   195] loss: 0.819
[17,   195] loss: 0.798
[18,   195] loss: 0.779
[19,   195] loss: 0.752
[20,   195] loss: 0.731
[21,   195] loss: 0.722
[22,   195] loss: 0.698
[23,   195] loss: 0.687
[24,   195] loss: 0.665
[25,   195] loss: 0.650
[26,   195] loss: 0.638
[27,   195] loss: 0.621
[28,   195] loss: 0.607
[29,   195] loss: 0.598
[30,   195] loss: 0.586
[31,   195] loss: 0.571
[32,   195] loss: 0.556
[33,   195] loss: 0.549
[34,   195] loss: 0.542
[35,   195] loss: 0.535
[36,   195] loss: 0.520
[37,   195] loss: 0.507
[38,   195] loss: 0.503
[39,   195] loss: 0.502
[40,   195] loss: 0.484
[41,   195] loss: 0.475
[42,   195] loss: 0.465
[43,   195] loss: 0.458
[44,   195] loss: 0.459
[45,   195] loss: 0.455
[46,   195] loss: 0.440
[47,   195] loss: 0.438
[48,   195] loss: 0.421
[49,   195] loss: 0.430
[50,   195] loss: 0.415
Accuracy of plane : 84 %
Accuracy of   car : 90 %
Accuracy of  bird : 78 %
Accuracy of   cat : 62 %
Accuracy of  deer : 64 %
Accuracy of   dog : 66 %
Accuracy of  frog : 80 %
Accuracy of horse : 70 %
Accuracy of  ship : 89 %
Accuracy of truck : 81 %
Total Accuracy is : 76.650%
[51,   195] loss: 0.413
[52,   195] loss: 0.400
[53,   195] loss: 0.398
[54,   195] loss: 0.391
[55,   195] loss: 0.380
[56,   195] loss: 0.384
[57,   195] loss: 0.373
[58,   195] loss: 0.363
[59,   195] loss: 0.364
[60,   195] loss: 0.358
[61,   195] loss: 0.359
[62,   195] loss: 0.350
[63,   195] loss: 0.348
[64,   195] loss: 0.332
[65,   195] loss: 0.338
[66,   195] loss: 0.333
[67,   195] loss: 0.326
[68,   195] loss: 0.325
[69,   195] loss: 0.319
[70,   195] loss: 0.314
[71,   195] loss: 0.310
[72,   195] loss: 0.308
[73,   195] loss: 0.301
[74,   195] loss: 0.306
[75,   195] loss: 0.301
[76,   195] loss: 0.290
[77,   195] loss: 0.293
[78,   195] loss: 0.291
[79,   195] loss: 0.285
[80,   195] loss: 0.285
[81,   195] loss: 0.282
[82,   195] loss: 0.273
[83,   195] loss: 0.270
[84,   195] loss: 0.271
[85,   195] loss: 0.270
[86,   195] loss: 0.268
[87,   195] loss: 0.270
[88,   195] loss: 0.255
[89,   195] loss: 0.257
[90,   195] loss: 0.262
[91,   195] loss: 0.258
[92,   195] loss: 0.254
[93,   195] loss: 0.248
[94,   195] loss: 0.252
[95,   195] loss: 0.244
[96,   195] loss: 0.237
[97,   195] loss: 0.242
[98,   195] loss: 0.235
[99,   195] loss: 0.230
[100,   195] loss: 0.238
Accuracy of plane : 84 %
Accuracy of   car : 89 %
Accuracy of  bird : 75 %
Accuracy of   cat : 60 %
Accuracy of  deer : 68 %
